userId,itemId,showTime,network,refresh,showPos,click,duration,deviceName,OS,province,city,publishTime,imageNum,cate1,cate2,age_0_24,age_25_29,age_30_39,age_40plus,female,male
1000014754,463510256,1624843756147,5,0,16,0,0,DVC-AN20,Android,江西,南昌,1624699097000,6,情感,情感/恋爱,0.006997,0.042276,0.293172,0.657555,0.362179,0.637821
1000014754,463852707,1624843756147,5,0,13,1,80,DVC-AN20,Android,江西,南昌,1624798040000,3,搞笑,搞笑/段子,0.006997,0.042276,0.293172,0.657555,0.362179,0.637821
1000014754,464757134,1625052999841,5,0,13,1,1050,DVC-AN20,Android,江西,南昌,1625030346000,8,搞笑,搞笑/段子,0.006997,0.042276,0.293172,0.657555,0.362179,0.637821
1000014754,464617167,1625052999841,5,0,16,1,286,DVC-AN20,Android,江西,南昌,1624981454000,6,教育,教育/资格考试,0.006997,0.042276,0.293172,0.657555,0.362179,0.637821
1000014754,465426190,1625382421168,5,0,5,0,0,DVC-AN20,Android,江西,南昌,1625159191000,4,教育,教育/职场,0.006997,0.042276,0.293172,0.657555,0.362179,0.637821
1000014754,465815972,1625382421168,5,0,4,1,285,DVC-AN20,Android,江西,南昌,1625307214000,11,农村,农村/农业资讯,0.006997,0.042276,0.293172,0.657555,0.362179,0.637821
1000014754,465991958,1625382421168,5,0,0,1,353,DVC-AN20,Android,江西,南昌,1625364078000,3,搞笑,搞笑/段子,0.006997,0.042276,0.293172,0.657555,0.362179,0.637821
1000014754,463067100,1624757147178,5,0,13,0,0,DVC-AN20,Android,江西,南昌,1624593498000,4,财经,财经/股票与投资,0.006997,0.042276,0.293172,0.657555,0.362179,0.637821
1000014754,464264603,1625011694982,5,1,18,0,0,DVC-AN20,Android,江西,南昌,1624891942000,3,搞笑,搞笑/段子,0.006997,0.042276,0.293172,0.657555,0.362179,0.637821
1000014754,464295109,1625009731701,5,0,19,1,215,DVC-AN20,Android,江西,南昌,1624896378000,7,教育,教育/资格考试,0.006997,0.042276,0.293172,0.657555,0.362179,0.637821
